"indivOrGroup","variation_level","hot_stove_susceptibility","mean_proportionSafeChoice_direct","mean_proportionSafeChoice","median_proportionSafeChoice_raw","sd_proportionSafeChoice_raw","hot_stove_susceptibility_slided"
"Group",1,4,0.46407133546543,0.471553771786696,-0.25367788224651,0.872484556589044,3.98405844308108
"Group",2,2.4,0.349069114582509,0.340522880491376,-0.787193860823286,0.838140958386261,2.39495601461533
"Group",2,3.2,0.402137176706423,0.399723694384147,-0.515801927850625,0.817212466928328,3.20586816584881
"Group",2,4,0.44313650564751,0.445547853136174,-0.327192372438725,0.787514800776873,4.03128860772701
"Group",2,4.8,0.476184072969678,0.482207925093246,-0.172409013789204,0.759655209335155,4.79813942105922
"Group",2,5.6,0.502604819667882,0.510778813506703,-0.0580798697149213,0.73379859079284,5.61571166380971
"Group",3,1.2,0.186702913359528,0.169733199573054,-1.6892667936548,0.778797733338962,1.20919000908613
"Group",3,1.68,0.227073877559372,0.210175155033753,-1.40451768609783,0.764804631649799,1.66870774526219
"Group",3,1.92,0.247136587762076,0.231146854807061,-1.27653309223356,0.758937296761404,1.9356968452817
"Group",3,7.44,0.474159917736242,0.476996122227953,-0.139624101102565,0.537361613644264,7.43208937017984
"Group",3,7.76,0.481627128076983,0.484792444338499,-0.108239721576451,0.529475660415182,7.77439795902798
"Group",4,0.4,0.25054805631865,0.214769674484279,-1.79178654304006,1.39960038512414,0.400621091088257
"Group",4,1.68,0.26895170668974,0.254680106351376,-1.22500967858979,0.943221360578345,1.68238674391033
"Group",4,3.92,0.415278619431758,0.418101615752169,-0.455361540460325,0.872184862386925,3.92693817437997
"Group",4,6.8,0.507095085896817,0.519994894458714,-0.0575590746097154,0.798884490928953,6.79553456937384
"Group",4,7.2,0.515986223864859,0.529474855020528,-0.021345004891191,0.795050497468733,7.19638133391907
"Individual",0,0.4,0.367355119651065,0.0761629160979124,-4.17994173361228,6.27075850556357,0.388699070806816
"Individual",0,1.2,0.357030404811116,0.133643242756508,-2.62364443855062,5.66979959851162,1.19244302207281
"Individual",0,1.68,0.401135869868901,0.240130975271016,-1.49458514499256,5.33200659260694,1.68475680850004
"Individual",0,1.92,0.430073009360036,0.321807030909999,-0.999349694264366,5.15085863364949,1.92714290287505
"Individual",0,2.4,0.520355364085765,0.559659654868613,0.0390468215356197,4.80188510522816,2.40211500908426
"Individual",0,3.2,0.689064154708444,0.879042402166242,1.81300104280923,4.19836843568635,3.20643269246209
"Individual",0,4,0.820377270663442,0.969246044047205,4.19414161422543,3.58523468789677,4.01659320062914
"Individual",0,5.6,0.941601193336267,0.995241963581094,5.70093032709006,2.94351668716971,5.58766346780096
"Individual",0,6.8,0.968752929212712,0.997988511854834,6.25521213917097,2.89685752904225,6.8069128513278
"Individual",0,7.2,0.974022658230282,0.998389183641616,6.40420905540162,2.86976927801545,7.20642410220118
"Individual",0,7.76,0.979407231405182,0.998835334068416,6.58205658840318,2.90288412049067,7.76339702535085
