"indivOrGroup","variation_level","hot_stove_susceptibility","sigma","theta","mean_proportionSafeChoice","median_proportionSafeChoice_raw","sd_proportionSafeChoice_raw","hot_stove_susceptibility_slided"
"Group",1,4,0.3,2,0.437488944457684,-0.251359352515507,0.869140511861272,4.00587753574432
"Group",2,4,0.15,2,0.54303402421496,0.17256304078062,1.11203100686439,3.98579267132057
"Group",2,4,0.225,2,0.492291624632411,-0.0308359446152931,0.996986515620191,4.00203983137102
"Group",2,4,0.3,2,0.457542805529761,-0.170238733760973,0.947272800460453,3.98085238917235
"Group",2,4,0.375,2,0.437004490131449,-0.253328182798047,0.887770412531415,3.9752368590196
"Group",2,4,0.45,2,0.424030005366881,-0.306251346585401,0.853585521292584,3.9964553476666
"Group",3,4,0.05,2,0.727990257093478,0.984449779830012,1.673579260482,4.00245288123455
"Group",3,4,0.1,2,0.648933577929896,0.61435492398223,1.38287476842762,3.99071645916747
"Group",3,4,0.3,2,0.524237897422075,0.0970276392095153,1.05253815568087,3.99367200147269
"Group",3,4,0.5,2,0.501688398098966,0.00675361806588766,0.913966892380737,4.00601534511172
"Group",3,4,0.55,2,0.503720240042767,0.0148812347871965,0.908091618498008,4.00708557758449
"Group",4,4,0.01,2,0.894776357263237,2.14048579099987,2.46821791109953,4.01469250371447
"Group",4,4,0.04,2,0.810794118802688,1.45517842029109,1.95326439789591,4.00357198891397
"Group",4,4,0.1,2,0.720984676596643,0.949351181166623,1.63277709536644,4.00761712858649
"Group",4,4,0.55,2,0.626930498426046,0.519070953099738,1.02833893875609,3.98995808571775
"Group",4,4,0.8,2,0.69164678059464,0.807829450502549,0.916468515622509,3.99376146167731
"Individual",1,4,0,0,0.943308721454987,2.81177322994412,3.23135707050944,3.99915701251166
