"date","time","amazonID","exp_condition","isLeftRisky","indivOrGroup","riskDistributionId","groupSize","room","confirmationID","subjectNumber","round","choice","payoff","totalEarning","socialFreq_safe1","socialFreq_safe2","socialFreq_safe3","socialFreq_risky","behaviouralType","timeElapsed","latency","socialInfo_00","socialInfo_01","socialInfo_02","socialInfo_03","socialInfo_04","socialInfo_05","socialInfo_06","socialInfo_07","socialInfo_08","socialInfo_09","socialInfo_10","socialInfo_11","publicInfo_00","publicInfo_01","publicInfo_02","publicInfo_03","publicInfo_04","publicInfo_05","publicInfo_06","publicInfo_07","publicInfo_08","publicInfo_09","publicInfo_10","publicInfo_11","best_risky_choice","best_safe_choice","poor_safe_choice","third_option_choice","risky_choice","indivOrGroup_factor","riskDistributionId_factor","room2","choice_num","sub","group"
"2020-10-22","13:38:22","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,1,"sure3",100,100,0,0,0,0,"choice",5338,0,"-1","-1","-1","-1","-1","-1",NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,"Social","Con: 0","102_session_602",2,1,3
"2020-10-22","13:38:30","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,2,"sure3",104,204,3,1,1,0,"choice",12990,0,"sure1","sure2","sure1","sure1","sure3","",NA,NA,NA,NA,NA,NA,157,119,151,142,100,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,"Social","Con: 0","102_session_602",2,1,3
"2020-10-22","13:38:45","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,3,"risky",438,642,1,1,2,1,"choice",28232,0,"sure1","sure3","sure2","sure3","risky","",NA,NA,NA,NA,NA,NA,173,104,126,100,427,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:38:57","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,4,"risky",424,1066,1,0,2,2,"choice",39813,0,"sure3","risky","sure1","risky","sure3","",NA,NA,NA,NA,NA,NA,114,32,130,438,105,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:3","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,5,"risky",55,1121,0,1,1,3,"choice",45461,0,"sure3","sure2","risky","risky","risky","",NA,NA,NA,NA,NA,NA,98,117,51,424,48,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:15","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,6,"risky",416,1537,3,0,1,1,"choice",57775,0,"risky","sure1","sure1","sure1","sure3","",NA,NA,NA,NA,NA,NA,55,142,137,155,106,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:21","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,7,"risky",429,1966,2,2,0,1,"choice",63873,0,"sure1","sure2","sure1","risky","sure2","",NA,NA,NA,NA,NA,NA,137,130,141,416,141,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:33","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,8,"risky",55,2021,1,1,2,1,"choice",75553,0,"sure3","sure2","sure3","risky","sure1","",NA,NA,NA,NA,NA,NA,115,128,90,429,163,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:37","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,9,"risky",429,2450,1,1,1,2,"choice",80418,0,"sure3","sure1","sure2","risky","risky","",NA,NA,NA,NA,NA,NA,103,141,113,442,55,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:42","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,10,"risky",435,2885,2,1,1,1,"choice",84940,0,"sure3","sure1","risky","sure1","sure2","",NA,NA,NA,NA,NA,NA,122,147,429,135,118,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:51","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,11,"risky",42,2927,2,1,1,1,"choice",93570,0,"sure1","risky","sure3","sure1","sure2","",NA,NA,NA,NA,NA,NA,149,435,90,160,128,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:39:56","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,12,"risky",60,2987,2,1,1,1,"choice",98551,0,"sure3","sure1","sure2","sure1","risky","",NA,NA,NA,NA,NA,NA,91,154,131,153,42,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:40:2","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,13,"risky",410,3397,2,1,0,2,"choice",104587,0,"sure1","risky","risky","sure2","sure1","",NA,NA,NA,NA,NA,NA,129,39,60,132,154,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:40:8","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,14,"risky",57,3454,1,1,2,1,"choice",110675,0,"sure3","sure1","risky","sure2","sure3","",NA,NA,NA,NA,NA,NA,93,158,410,110,103,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:40:13","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,15,"risky",431,3885,1,1,1,2,"choice",116113,0,"risky","sure1","sure2","sure3","risky","",NA,NA,NA,NA,NA,NA,50,152,124,104,57,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:40:20","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,16,"risky",445,4330,2,1,0,2,"choice",122713,0,"sure1","risky","risky","sure2","sure1","",NA,NA,NA,NA,NA,NA,136,431,45,117,142,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
"2020-10-22","13:40:25","54d215e5fdf99b5b9844dac9","binary_4ab","true",1,11,5,"102_session_602","tQNMrS_BuTslX21yAAAQ",6,17,"risky",53,4383,1,0,3,1,"choice",128059,0,"sure3","risky","sure1","sure3","sure3","",NA,NA,NA,NA,NA,NA,82,445,165,100,101,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"Social","Con: 0","102_session_602",3,1,3
