date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,choice,payoff,totalEarning,socialFreq_safe,socialFreq_risky,behaviouralType,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2020-8-20,9:27:38,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,1,sure,143,143,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:27:44,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,2,risky,560,703,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:27:48,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,3,risky,545,1248,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:27:52,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,4,sure,155,1403,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:27:55,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,5,risky,43,1446,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:27:59,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,6,risky,546,1992,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:3,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,7,risky,553,2545,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:8,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,8,risky,546,3091,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:13,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,9,sure,158,3249,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:16,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,10,risky,46,3295,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:23,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,11,risky,46,3341,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:27,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,12,sure,155,3496,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:30,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,13,sure,160,3656,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:32,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,14,risky,44,3700,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:37,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,15,risky,51,3751,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:39,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,16,sure,152,3903,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:44,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,17,risky,45,3948,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:47,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,18,sure,160,4108,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:49,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,19,sure,147,4255,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:51,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,20,sure,147,4402,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:53,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,21,sure,145,4547,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:55,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,22,risky,56,4603,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:28:57,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,23,risky,549,5152,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:3,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,24,risky,45,5197,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:6,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,25,sure,150,5347,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:8,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,26,sure,150,5497,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:10,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,27,risky,51,5548,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:12,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,28,risky,545,6093,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:15,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,29,risky,50,6143,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:18,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,30,sure,153,6296,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:22,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,31,sure,158,6454,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:33,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,32,risky,42,6496,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:38,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,33,sure,157,6653,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:40,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,34,sure,157,6810,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-20,9:29:41,5f03992920393a2d8ee82ca2,binary,true,0,6,1,08200913_session_2001,kFqlP9AKZjZsQhtNAAAA,1,35,sure,147,6957,0,0,choice,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
