date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,choice,payoff,totalEarning,socialFreq_safe,socialFreq_risky,behaviouralType,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2020-8-20,9:31:21,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,1,sure,151,151,,,choice,12616,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,9:31:18,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,1,sure,147,147,,,choice,9233,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,9:31:20,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,1,risky,36,36,,,choice,11390,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,9:31:18,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,1,sure,152,152,,,choice,9906,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,9:31:19,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,1,sure,154,154,,,choice,10290,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,9:31:18,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,1,sure,149,149,,,choice,9575,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,9:31:28,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,2,risky,53,200,5,1,choice,19345,0,sure,sure,sure,sure,risky,sure,,,,,,,147,149,152,154,36,151,,,,,,
2020-8-20,9:31:31,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,2,sure,156,192,5,1,choice,22401,0,sure,sure,sure,sure,risky,sure,,,,,,,147,149,152,154,36,151,,,,,,
2020-8-20,9:31:25,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,2,sure,149,301,5,1,choice,17089,0,sure,sure,sure,sure,risky,sure,,,,,,,147,149,152,154,36,151,,,,,,
2020-8-20,9:31:30,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,2,risky,60,211,5,1,choice,21634,0,sure,sure,sure,sure,risky,sure,,,,,,,147,149,152,154,36,151,,,,,,
2020-8-20,9:31:28,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,2,risky,50,199,5,1,choice,19509,0,sure,sure,sure,sure,risky,sure,,,,,,,147,149,152,154,36,151,,,,,,
2020-8-20,9:31:29,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,2,risky,47,201,5,1,choice,20277,0,sure,sure,sure,sure,risky,sure,,,,,,,147,149,152,154,36,151,,,,,,
2020-8-20,9:31:38,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,3,risky,53,254,2,4,choice,29755,0,sure,risky,risky,risky,risky,sure,,,,,,,149,53,50,47,60,156,,,,,,
2020-8-20,9:31:36,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,3,sure,160,360,2,4,choice,27196,0,sure,risky,risky,risky,risky,sure,,,,,,,149,53,50,47,60,156,,,,,,
2020-8-20,9:31:35,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,3,risky,51,250,2,4,choice,26475,0,sure,risky,risky,risky,risky,sure,,,,,,,149,53,50,47,60,156,,,,,,
2020-8-20,9:31:36,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,3,risky,56,357,2,4,choice,28123,0,sure,risky,risky,risky,risky,sure,,,,,,,149,53,50,47,60,156,,,,,,
2020-8-20,9:31:36,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,3,sure,146,357,2,4,choice,27212,0,sure,risky,risky,risky,risky,sure,,,,,,,149,53,50,47,60,156,,,,,,
2020-8-20,9:31:35,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,3,sure,152,344,2,4,choice,26410,0,sure,risky,risky,risky,risky,sure,,,,,,,149,53,50,47,60,156,,,,,,
2020-8-20,9:31:42,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,4,sure,150,507,3,3,choice,33428,0,sure,risky,sure,sure,risky,risky,,,,,,,152,51,160,146,56,53,,,,,,
2020-8-20,9:31:45,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,4,risky,54,308,3,3,choice,36217,0,sure,risky,sure,sure,risky,risky,,,,,,,152,51,160,146,56,53,,,,,,
2020-8-20,9:31:42,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,4,sure,152,402,3,3,choice,34055,0,sure,risky,sure,sure,risky,risky,,,,,,,152,51,160,146,56,53,,,,,,
2020-8-20,9:31:43,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,4,sure,147,507,3,3,choice,34936,0,sure,risky,sure,sure,risky,risky,,,,,,,152,51,160,146,56,53,,,,,,
2020-8-20,9:31:44,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,4,risky,550,907,3,3,choice,35938,0,sure,risky,sure,sure,risky,risky,,,,,,,152,51,160,146,56,53,,,,,,
2020-8-20,9:31:42,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,4,risky,47,391,3,3,choice,33198,0,sure,risky,sure,sure,risky,risky,,,,,,,152,51,160,146,56,53,,,,,,
2020-8-20,9:31:50,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,5,sure,151,553,3,3,choice,41888,0,risky,sure,sure,sure,risky,risky,,,,,,,47,150,152,147,550,54,,,,,,
2020-8-20,9:31:48,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,5,sure,155,662,3,3,choice,39970,0,risky,sure,sure,sure,risky,risky,,,,,,,47,150,152,147,550,54,,,,,,
2020-8-20,9:31:48,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,5,risky,48,439,3,3,choice,39645,0,risky,sure,sure,sure,risky,risky,,,,,,,47,150,152,147,550,54,,,,,,
2020-8-20,9:31:49,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,5,sure,153,1060,3,3,choice,40702,0,risky,sure,sure,sure,risky,risky,,,,,,,47,150,152,147,550,54,,,,,,
2020-8-20,9:31:48,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,5,sure,147,455,3,3,choice,39648,0,risky,sure,sure,sure,risky,risky,,,,,,,47,150,152,147,550,54,,,,,,
2020-8-20,9:31:49,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,5,sure,139,646,3,3,choice,40336,0,risky,sure,sure,sure,risky,risky,,,,,,,47,150,152,147,550,54,,,,,,
2020-8-20,9:31:57,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,6,sure,145,600,5,1,choice,48218,0,risky,sure,sure,sure,sure,sure,,,,,,,48,147,155,139,153,151,,,,,,
2020-8-20,9:31:53,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,6,risky,45,1105,5,1,choice,45140,0,risky,sure,sure,sure,sure,sure,,,,,,,48,147,155,139,153,151,,,,,,
2020-8-20,9:31:54,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,6,sure,146,808,5,1,choice,45336,0,risky,sure,sure,sure,sure,sure,,,,,,,48,147,155,139,153,151,,,,,,
2020-8-20,9:31:54,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,6,sure,150,703,5,1,choice,46030,0,risky,sure,sure,sure,sure,sure,,,,,,,48,147,155,139,153,151,,,,,,
2020-8-20,9:31:57,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,6,risky,53,492,5,1,choice,48240,0,risky,sure,sure,sure,sure,sure,,,,,,,48,147,155,139,153,151,,,,,,
2020-8-20,9:31:54,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,6,sure,157,803,5,1,choice,45536,0,risky,sure,sure,sure,sure,sure,,,,,,,48,147,155,139,153,151,,,,,,
2020-8-20,9:32:0,58e8bc6bc9cd200001b71e8d,binary,false,1,6,6,08200913_session_200,9tzZEq0QiHrL-r--AAAF,6,7,sure,148,951,4,2,choice,51709,0,risky,sure,sure,sure,sure,risky,,,,,,,45,146,157,150,145,53,,,,,,
2020-8-20,9:32:0,5a9d1a066219a30001f5379e,binary,false,1,6,6,08200913_session_200,P6olpw6Gx8oeCCt1AAAC,3,7,sure,157,965,4,2,choice,51517,0,risky,sure,sure,sure,sure,risky,,,,,,,45,146,157,150,145,53,,,,,,
2020-8-20,9:32:1,5e394b5c983be7150f763a21,binary,false,1,6,6,08200913_session_200,HZ3S7emcBsh1fphPAAAH,1,7,sure,151,854,4,2,choice,52341,0,risky,sure,sure,sure,sure,risky,,,,,,,45,146,157,150,145,53,,,,,,
2020-8-20,9:32:2,5bf2c174bd9f150001f6c321,binary,false,1,6,6,08200913_session_200,oANrvWJ7AKkoYY6dAAAA,1,7,sure,143,635,4,2,choice,53805,0,risky,sure,sure,sure,sure,risky,,,,,,,45,146,157,150,145,53,,,,,,
2020-8-20,9:32:0,5eff4d8893f6ff0b9efbca67,binary,false,1,6,6,08200913_session_200,sMTpASEg8LdkRZhtAAAI,2,7,sure,146,1251,4,2,choice,52115,0,risky,sure,sure,sure,sure,risky,,,,,,,45,146,157,150,145,53,,,,,,
2020-8-20,9:32:1,5f2fe6cb32c21b3e621b3f90,binary,false,1,6,6,08200913_session_200,9lYlTnPtt-BdDzO3AAAE,5,7,risky,56,656,4,2,choice,52692,0,risky,sure,sure,sure,sure,risky,,,,,,,45,146,157,150,145,53,,,,,,
