"sub","alpha_mean_AL00_multiVar_LKJ","alpha_median_AL00_multiVar_LKJ","beta_mean_AL00_multiVar_LKJ","beta_median_AL00_multiVar_LKJ","log_lik_AL00_multiVar_LKJ","waic_AL00_multiVar_LKJ"
1,0.356227361547778,0.3526945,2.02801378011111,1.99239,-79.4795210333333,160.584049922286
2,0.109285728666667,0.107575,3.19395757555556,3.171195,-57.4958581666667,116.482692352638
3,0.146482245565556,0.1361995,4.91728714111111,4.737715,-18.7637072222222,38.6030931181396
4,0.041387834693,0.02453375,2.2305736199,1.559255,-92.9564644555556,186.637584804382
5,0.0440382138068778,0.01527595,1.89063952728889,1.298785,-67.3034470888889,135.440187073455
6,0.134583077998889,0.1078775,7.05358442,6.201255,-16.3268680666667,33.4370438253828
7,0.0451216110577778,0.0426292,11.41054447,9.567835,-20.7143513333333,42.9856059085527
8,0.0676257015644444,0.0597028,3.95382119111111,3.5074,-43.5383421888889,88.207994612207
9,0.0372852260779778,0.020305,2.1343516513,1.520435,-94.6131718,189.692257350447
10,0.0582978823742222,0.04471035,2.003444415,1.549075,-87.5952579333333,176.169394104197
11,0.665038179888889,0.665876,1.62914147766667,1.60739,-84.0724746333333,169.883062511991
12,0.04393020773,0.042171,8.83301980444444,7.84069,-41.1520866222222,83.4865447433794
13,0.0359291247474444,0.03502135,3.54737076988889,3.267375,-75.3382773111111,151.926792090588
14,0.102320796624244,0.03385595,1.50691062651111,1.02951,-97.1069271333333,194.663787320158
15,0.300933094844444,0.281243,5.65158655777778,5.415365,-13.857074,29.080518324139
16,0.0742938398544444,0.06612675,7.32594152333333,6.037625,-18.2050090777778,37.5758579733325
17,0.183290629542222,0.1800815,1.32820673688889,1.31039,-79.5630614111111,160.860669765931
18,0.0844231543404111,0.0156409,1.59858776637778,1.03955,-97.4048610444444,195.369711958918
19,0.545678285815556,0.554508,8.18727128222222,8.03527,-31.4977868666667,66.18957993291
20,0.0776978456096,0.02174565,1.83990612583333,1.302095,-96.7198761444444,193.885000742404
21,0.142578177723778,0.0183552,1.43737103991111,0.8928135,-97.5408617111111,195.945471998887
22,0.226045056675333,0.2039745,1.31155740055556,1.115335,-91.1499050444444,183.460497884687
23,0.07606675520303,0.01957425,1.84468192396667,1.24773,-96.9515829222222,194.305801581503
24,0.517098428881111,0.6280735,2.90511533666667,2.85785,-76.3679205111111,155.763237605634
25,0.0740420045676667,0.06444265,5.68761561555556,5.00993,-28.7528516777778,58.5865606524937
26,0.0812185118677778,0.0758611,5.88945224333333,5.32128,-27.7573668888889,56.4688530496657
27,0.305776364771111,0.2979895,0.907098354777778,0.9010655,-89.9307275333333,181.576465162532
28,0.0863765982844444,0.0741867,4.96946085111111,4.468975,-29.4122492222222,59.7248617874513
29,0.0386580076734444,0.0331322,3.06328493711111,2.57372,-89.9610090111111,181.115704262163
30,0.108911001075556,0.1017335,3.72658222555556,3.626035,-37.8860527222222,76.9998221216794
31,0.181293069422222,0.1732655,3.50741290555556,3.452205,-48.5090357666667,98.4130469665993
32,0.0915930476244445,0.0890547,3.01024890777778,2.69299,-52.5402336111111,106.007411501822
33,0.893880501888889,0.903574,14.2045396966667,13.85415,-20.5021303666667,43.8032241183979
34,0.0659423495288889,0.0588316,7.50201551333333,6.20521,-24.4356130777778,50.2071373306691
35,0.5849197394,0.5798665,6.72235480444444,6.65808,-52.2456872111111,106.203369088051
36,0.0555404492023333,0.05060105,1.83276813466667,1.49462,-79.3467752,159.701514118439
37,0.0512678430466667,0.0463034,2.57823943422222,2.1786,-57.5542695777778,116.061269344728
38,0.0896633359311111,0.0875936,2.35778480333333,2.255855,-62.3668415777778,126.00819076126
39,0.358190657210111,0.3685375,0.875332999266667,0.6501065,-95.4147495555556,194.058325048838
40,0.166215753702222,0.148278,3.03187775333333,2.906175,-68.5322044777778,138.35012955843
41,0.173733432624444,0.1523335,1.661362102,1.35067,-89.7574122111111,180.729358912567
42,0.0740845537376667,0.0604903,2.71048125995556,2.158735,-49.6722744111111,100.267915028621
43,0.148599531233922,0.042291,1.76052376364444,1.239805,-96.4783297444445,193.35899000516
44,0.137841970277778,0.1370515,2.53176736666667,2.512125,-67.5138371777778,136.517580007811
45,0.0570661825348444,0.0159564,1.64974307966667,1.135095,-96.6085270111111,193.654281010341
46,0.0949288670011111,0.0659767,2.39079529288889,1.898695,-88.1430443222222,177.158650664711
47,0.0359979310573889,0.01656505,2.14272535357778,1.49387,-71.1996810666667,143.001540357954
48,0.528784073111111,0.5230755,3.08005443444444,3.061095,-60.8025641777778,122.95100942754
49,0.0730799360588889,0.0700565,4.16459275111111,3.89915,-73.8713848666667,149.074926895619
50,0.1000154806,0.0994817,2.29141632133333,2.27519,-67.8691659666667,137.188376273119
51,0.2825992003,0.2728115,1.70470390466667,1.695225,-81.6231610555556,164.776605311813
