"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu_alpha",-2.176455529,-2.18002,0.391497526181691,0.388344831,-2.830982,-1.5353475,1.01215046775349,722.15881140278,2059.04565491859
"mu_beta",1.35030492,1.34482,0.176815893604144,0.172003839,1.068993,1.6421555,1.00568801995327,1417.07529805109,2444.19189689746
"mu_soc0",-2.41389817666667,-2.393085,0.403572905631397,0.389516085,-3.1203215,-1.7954525,1.00266716599796,2356.07728179299,4201.60347060201
"mu_theta",1.42688136000667,1.41374,0.533490405094668,0.524343729,0.5849367,2.3142625,0.999895241563056,3382.19306207503,4920.24781034952
"s_alpha",1.930093926,1.70023,1.04756321527554,0.877691787,0.73045765,3.98657,1.0007172937189,5445.62565440823,5645.47830139305
"s_beta",1.18306153425,0.9536375,0.829482181271945,0.6293162568,0.3137801,2.871676,1.00023816597597,5404.60567814632,4911.96082195623
"s_soc0",1.84782591933333,1.61569,1.03538069442358,0.862828722,0.66066385,3.8378945,1.00026482492455,5385.73427414557,5413.89159611835
"s_theta",1.60909752866667,1.380185,0.960044197665154,0.7646998758,0.53365055,3.477501,1.00023846650946,5177.06133626693,5344.18786770227
"Rho_ID[1,1]",1,1,0,0,1,1,NA,NA,NA
"Rho_ID[2,1]",-0.51575474263,-0.528967,0.154158005126222,0.1554076146,-0.7446187,-0.2431749,1.01626142197804,972.806061966551,2414.12873192364
"Rho_ID[3,1]",0.030972087879835,0.02900725,0.211151004744074,0.21939848385,-0.31068935,0.38265365,1.00755771765415,585.678486178002,1445.17161880965
"Rho_ID[4,1]",0.1144053929671,0.1209235,0.254925901157297,0.265044402,-0.3199806,0.5118125,1.00132088219232,1343.21254540948,1945.40398494993
"Rho_ID[1,2]",-0.51575474263,-0.528967,0.154158005126222,0.1554076146,-0.7446187,-0.2431749,1.01626142197804,972.806061966551,2414.12873192364
"Rho_ID[2,2]",1,1,0,0,1,1,NA,NA,NA
"Rho_ID[3,2]",-0.1421210572325,-0.1425775,0.211486269215641,0.223626888702,-0.4777595,0.20510255,1.0082595053889,1161.32167758135,2149.34319134905
"Rho_ID[4,2]",0.145814161129017,0.155217,0.266683670111838,0.27972258678,-0.3072099,0.5809006,1.00262187532829,1576.25347900089,2661.5919956596
"Rho_ID[1,3]",0.030972087879835,0.02900725,0.211151004744074,0.21939848385,-0.31068935,0.38265365,1.00755771765415,585.678486178002,1445.17161880965
"Rho_ID[2,3]",-0.1421210572325,-0.1425775,0.211486269215641,0.223626888702,-0.4777595,0.20510255,1.0082595053889,1161.32167758135,2149.34319134905
"Rho_ID[3,3]",1,1,0,0,1,1,NA,NA,NA
"Rho_ID[4,3]",0.0316957387407333,0.0391342,0.218624167166448,0.22535104872,-0.3368538,0.3822712,1.00082531072437,2438.03106651765,3910.37576213636
"Rho_ID[1,4]",0.1144053929671,0.1209235,0.254925901157297,0.265044402,-0.3199806,0.5118125,1.00132088219232,1343.21254540948,1945.40398494993
"Rho_ID[2,4]",0.145814161129017,0.155217,0.266683670111838,0.27972258678,-0.3072099,0.5809006,1.00262187532829,1576.25347900089,2661.5919956596
"Rho_ID[3,4]",0.0316957387407333,0.0391342,0.218624167166448,0.22535104872,-0.3368538,0.3822712,1.00082531072437,2438.03106651765,3910.37576213636
"Rho_ID[4,4]",1,1,0,0,1,1,NA,NA,NA
