"sub","alpha_mean_SL00_multiVar_LKJ","alpha_median_SL00_multiVar_LKJ","beta_mean_SL00_multiVar_LKJ","beta_median_SL00_multiVar_LKJ","soc_mean_SL00_multiVar_LKJ","soc_median_SL00_multiVar_LKJ","theta_mean_SL00_multiVar_LKJ","theta_median_SL00_multiVar_LKJ","log_lik_SL00_multiVar_LKJ","waic_SL00_multiVar_LKJ"
1,0.0164369978610817,0.0100497,7.5046798865,4.83177,0.107345296506941,0.04537465,0.627598788028483,0.4512835,-45.6592186166667,92.1994436799884
2,0.305298039660779,0.143895,4.05289260793333,1.713795,0.177069068368083,0.093228,0.88773492636935,0.597415,-48.0860503333333,97.5307049882805
3,0.0999853400900479,0.005533215,7.06339807963333,3.956545,0.227250298312228,0.08769365,0.313502883891833,0.0705919,-33.6922571666667,68.143839969667
4,0.0815662068848333,0.05528495,6.5199487495,5.047595,0.277655443648638,0.2614635,2.17416307136667,2.05762,-33.8885260666667,69.8243537663194
5,0.384035695252633,0.304998,5.67703862583333,3.902965,0.315055936863595,0.2092285,2.33788604956833,2.303255,-10.66990323,22.5168011666904
6,0.0234707873834443,0.00153455,9.05999732568333,5.329285,0.175643618822719,0.076178,1.00785810812313,0.831524,-49.3335771666667,99.7091526163647
7,0.264766688537073,0.08258695,5.41551755128333,3.265275,0.853151356,0.8808665,2.35990486483333,2.240155,-36.1706552333333,73.7522923657555
8,0.017521951257,0.009953775,11.2624983518333,8.151015,0.0728609213221583,0.0327158,1.322775847588,1.34153,-41.0378938,83.5852254082567
9,0.114432933829744,0.1120175,4.857422852,2.768915,0.236741945738556,0.180409,0.6656275920558,0.392114,-45.9653001833333,93.4367970015996
10,0.196378541149413,0.01432305,5.88597253311667,3.000695,0.334525123058471,0.281851,1.31857138975617,1.0545,-48.4199451,98.0043011281754
11,0.0165879030146833,0.0131841,10.5927811916667,7.608935,0.0510737733286479,0.0184996,0.786916632025,0.714547,-37.8933176,77.3752440862743
12,0.0411316188903637,0.0092836,7.91793050245,4.8247,0.360065140803752,0.374368,1.77739093989667,1.67832,-48.2064172666667,97.4137950398009
13,0.116307309365308,0.0581951,4.72905216936667,2.440855,0.300638359386028,0.215075,-0.105826819661,-0.2624155,-30.7849935833333,62.9084353571142
14,0.166232083649235,0.0390231,5.80168707678333,3.63046,0.69010228109186,0.7223905,1.56151748345,1.299065,-43.76801225,89.2083317447061
15,0.036667695692859,0.00873785,7.10856421238333,4.300135,0.156367576355212,0.06195255,0.201410809214783,-0.02451955,-39.71270415,80.2598435873012
16,0.274060474508833,0.139176,9.41666017333333,6.996655,0.0186602097846258,0.00861185,2.09500104513,2.05678,-4.29585272833333,9.78916535976824
17,0.2655561353,0.2577245,2.7529151935,2.61557,0.0353836921132998,0.01953225,1.09838059671183,1.07111,-16.9621888666667,35.6366689165831
18,0.219608257066667,0.218152,2.20988390583333,2.146435,0.044823385061755,0.0234137,1.05606334481633,1.033265,-33.1255101666667,68.0634065107941
19,0.0830871384521917,0.04559075,4.18792278733333,2.177725,0.106693338515187,0.0524739,0.775834140726537,0.603616,-45.27187075,91.8925584519873
20,0.0137556875827033,0.01043065,10.4316199406667,7.252605,0.0836276947744982,0.03355375,1.113800729635,1.06755,-26.6851373833333,54.6419210835315
21,0.213921734284301,0.02944615,4.80269162335,2.18389,0.490529501743931,0.513788,-1.41971429233417,-1.23196,-45.5217144166667,94.759068496252
